"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","location_standardized"
210,21,"University of Toronto",88.3,210,76.2,28,93.5,16,93.4,62,94.9,135,91.8,112,"master_account",0,"/world-university-rankings/university-toronto",483,"Canada",80107,25.2,"29%","56 : 44","University of Toronto","Art, Performing Arts & Design,Accounting & Finance,Archaeology,Communication & Media Studies,Sport Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Other Health,Computer Science,Architecture,Psychology,Mathematics & Statistics,General Engineering,Chemistry,Economics & Econometrics,Law,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Agriculture & Forestry,Education,Geography,Business & Management,Sociology,Electrical & Electronic Engineering,Medicine & Dentistry,Civil Engineering,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"canada"
240,24,"Carnegie Mellon University",85.7,240,73.1,34,85.1,26,99,4,85.4,246,84.2,214,"private",0,"/world-university-rankings/carnegie-mellon-university",485,"United States",15312,13.1,"46%","44 : 56","Carnegie Mellon University","Biological Sciences,Economics & Econometrics,Civil Engineering,Business & Management,Architecture,Communication & Media Studies,Art, Performing Arts & Design,Computer Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology,Chemical Engineering,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry",FALSE,FALSE,FALSE,"united states of america"
250,25,"University of Washington",83.8,250,74.6,29,81.3,28,98,12,84.7,255,72.1,402,"public",0,"/world-university-rankings/university-washington",489,"United States",49647,10,"16%","57 : 43","University of Washington","Languages, Literature & Linguistics,Civil Engineering,Geography,Electrical & Electronic Engineering,Mathematics & Statistics,General Engineering,Chemical Engineering,Accounting & Finance,Architecture,Physics & Astronomy,Computer Science,Chemistry,Psychology,History, Philosophy & Theology,Art, Performing Arts & Design,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Agriculture & Forestry,Communication & Media Studies,Archaeology,Biological Sciences,Sociology,Mechanical & Aerospace Engineering,Sport Science,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Economics & Econometrics",FALSE,FALSE,FALSE,"united states of america"
260,26,"Technical University of Munich",83.5,260,70.4,42,86,25,91.7,93,100,24,83.1,228,"master_account",6,"/world-university-rankings/technical-university-munich",552,"Germany",34907,41.8,"43%","35 : 65","Technical University of Munich","Medicine & Dentistry,Politics & International Studies (incl Development Studies),General Engineering,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sport Science,Mathematics & Statistics,Architecture,Physics & Astronomy,Civil Engineering,Business & Management,Agriculture & Forestry,Education,Chemical Engineering,Computer Science,Sociology,Mechanical & Aerospace Engineering",FALSE,FALSE,FALSE,"germany"
270,27,"Duke University",83.4,270,77.7,26,75.6,43,96.2,34,100,5,75.5,345,"private",0,"/world-university-rankings/duke-university",487,"United States",17180,4.3,"22%","54 : 46","Duke University","Computer Science,Physics & Astronomy,Agriculture & Forestry,Law,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Geography,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Other Health,Chemistry,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Art, Performing Arts & Design,Civil Engineering,Psychology,History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,"united states of america"
280,28,"The University of Tokyo",83.3,280,94.1,10,94.2,14,68.3,627,100,26,50.4,852,"master_account",0,"/world-university-rankings/university-tokyo",494,"Japan",26438,10.4,"17%",NA,"The University of Tokyo","Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Psychology,Computer Science,Biological Sciences,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Law,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Chemistry,Architecture,Civil Engineering,Sport Science,Education,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Archaeology,Agriculture & Forestry,Sociology",FALSE,FALSE,FALSE,"japan"
290,29,"University of Edinburgh",82.5,290,72.2,37,77.1,33,95.7,42,72.2,439,96.6,28,"master_account",0,"/world-university-rankings/university-edinburgh",500,"United Kingdom",37035,12.2,"49%","62 : 38","University of Edinburgh","History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Archaeology,Art, Performing Arts & Design,Biological Sciences,Business & Management,Medicine & Dentistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,General Engineering,Law,Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Physics & Astronomy,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Accounting & Finance,Education,Other Health,Veterinary Science,Sport Science,Geography",FALSE,FALSE,FALSE,"united kingdom"
300,30,"Nanyang Technological University, Singapore",81.8,300,65.8,51,79.3,30,94.5,54,99.9,39,94.1,65,"master_account",6,"/world-university-rankings/nanyang-technological-university-singapore",634,"Singapore",26044,17.1,"29%","48 : 52","Nanyang Technological University, Singapore NTU Nan yang","Psychology,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,General Engineering,History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Accounting & Finance,Mathematics & Statistics,Sport Science,Medicine & Dentistry,Chemistry,Sociology,Civil Engineering,Art, Performing Arts & Design,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Education",FALSE,FALSE,FALSE,"singapore"
310,31,"Northwestern University",81.4,310,71.8,40,75.8,41,97.8,14,92.3,165,69.4,446,"private",0,"/world-university-rankings/northwestern-university",490,"United States",19922,8,"20%","53 : 47","Northwestern University","Education,Computer Science,Biological Sciences,Psychology,Archaeology,Physics & Astronomy,History, Philosophy & Theology,Art, Performing Arts & Design,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Accounting & Finance,Chemistry,Chemical Engineering,Mathematics & Statistics,Geography,Sociology,Civil Engineering,Other Health,Electrical & Electronic Engineering,Sport Science,Law,Politics & International Studies (incl Development Studies),General Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,"united states of america"
320,32,"École Polytechnique Fédérale de Lausanne",80.4,320,73.6,33,72.4,50,88.5,150,100,6,95.3,43,"master_account",0,"/world-university-rankings/ecole-polytechnique-federale-de-lausanne",510,"Switzerland",12432,12.5,"64%","30 : 70","École Polytechnique Fédérale de Lausanne","Sport Science,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Accounting & Finance,Civil Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Architecture,Mathematics & Statistics,General Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management",FALSE,FALSE,FALSE,"switzerland"
330,33,"New York University",80.3,330,72,38,76.8,34,94.3,55,71.7,448,75.3,352,"private",0,"/world-university-rankings/new-york-university",508,"United States",49423,7.4,"45%","59 : 41","New York University","Psychology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Law,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Architecture,History, Philosophy & Theology,Electrical & Electronic Engineering,Computer Science,Biological Sciences,Economics & Econometrics,Chemical Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,General Engineering,Business & Management,Mathematics & Statistics,Other Health,Languages, Literature & Linguistics,Accounting & Finance,Sociology,Physics & Astronomy,Mechanical & Aerospace Engineering",FALSE,FALSE,FALSE,"united states of america"
340,34,"University of California, San Diego",79.9,340,64.9,56,75.8,42,97.4,20,100,31,73.9,370,"public",0,"/world-university-rankings/university-california-san-diego",497,"United States",39993,11,"21%","49 : 51","University of California, San Diego","Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Education,Communication & Media Studies,General Engineering,Mechanical & Aerospace Engineering,Computer Science,Psychology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Chemistry,Other Health,Biological Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Civil Engineering,Sociology,Economics & Econometrics,Mathematics & Statistics",FALSE,FALSE,FALSE,"united states of america"
350,35,"University of Hong Kong",79.6,350,65,55,70.5,53,96.1,36,96.3,121,97.4,20,"master_account",0,"/world-university-rankings/university-hong-kong",498,"Hong Kong",18010,18.4,"45%","55 : 45","University of Hong Kong","Physics & Astronomy,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Accounting & Finance,Civil Engineering,Communication & Media Studies,Law,History, Philosophy & Theology,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,General Engineering,Economics & Econometrics,Art, Performing Arts & Design,Sociology,Geography,Agriculture & Forestry,Medicine & Dentistry,Architecture",FALSE,FALSE,FALSE,"hong kong"
380,38,"LMU Munich",78.7,380,65.2,54,76.5,37,91.7,92,100,13,76.4,326,"master_account",6,"/world-university-rankings/lmu-munich",509,"Germany",34235,33,"18%","61 : 39","LMU Munich Ludwig-Maximilians-Universität München","Biological Sciences,Art, Performing Arts & Design,Psychology,Communication & Media Studies,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Other Health,Law,Sociology,Education,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Veterinary Science,History, Philosophy & Theology,Geography,Physics & Astronomy,Economics & Econometrics,Archaeology,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,"germany"
390,39,"University of Melbourne",78.4,390,64.2,58,75.3,44,89.1,132,99.3,79,92.3,95,"master_account",0,"/world-university-rankings/university-melbourne",501,"Australia",50303,23.6,"48%","58 : 42","University of Melbourne UniMelb Australia","Communication & Media Studies,Medicine & Dentistry,Computer Science,Economics & Econometrics,Civil Engineering,Physics & Astronomy,History, Philosophy & Theology,Architecture,Chemical Engineering,Accounting & Finance,Sociology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Archaeology,Mathematics & Statistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Veterinary Science,Geography,Languages, Literature & Linguistics,Law,Education,Sport Science,Electrical & Electronic Engineering,Chemistry,Psychology,General Engineering,Business & Management",FALSE,FALSE,FALSE,"australia"
400,40,"Georgia Institute of Technology",78.3,400,60,72,77.7,32,92.9,72,99.2,81,83.4,220,"public",0,"/world-university-rankings/georgia-institute-technology",488,"United States",34116,31.4,"31%","34 : 66","Georgia Institute of Technology","Chemistry,General Engineering,Biological Sciences,Mathematics & Statistics,Sociology,Other Health,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Agriculture & Forestry,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Geography,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Psychology,Business & Management,Architecture,Civil Engineering,Chemical Engineering,Communication & Media Studies,Physics & Astronomy,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"united states of america"
410,41,"University of British Columbia",77.8,410,62.3,64,76.7,35,89.7,120,79.8,325,94.3,62,"master_account",0,"/world-university-rankings/university-british-columbia",486,"Canada",59931,19.3,"34%","56 : 44","University of British Columbia","Accounting & Finance,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Other Health,Medicine & Dentistry,Sociology,Computer Science,Art, Performing Arts & Design,Education,Mathematics & Statistics,Economics & Econometrics,Law,Chemical Engineering,Biological Sciences,Languages, Literature & Linguistics,Sport Science,Politics & International Studies (incl Development Studies),Architecture,General Engineering,Business & Management,Psychology,Physics & Astronomy,Geography,Agriculture & Forestry,Archaeology,Electrical & Electronic Engineering,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Chemistry",FALSE,FALSE,FALSE,"canada"
420,42,"Paris Sciences et Lettres – PSL Research University Paris",77.7,420,74.4,30,72.8,49,82,283,99.4,76,80.4,270,"master_account",0,"/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris",615804,"France",16016,14.9,"21%","50 : 50","Paris Sciences et Lettres – PSL Research University Paris","History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Geography,Archaeology,Physics & Astronomy,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Sociology,Civil Engineering,Law,Other Health,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies",FALSE,FALSE,FALSE,"france"
430,43,"KU Leuven",77,430,59.5,76,74.9,45,92.4,81,100,11,80.6,268,"master_account",11,"/world-university-rankings/ku-leuven",531,"Belgium",50447,37.5,"20%","52 : 48","KU Leuven","Art, Performing Arts & Design,Chemical Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Architecture,Sport Science,Education,Archaeology,Biological Sciences,Psychology,History, Philosophy & Theology,Agriculture & Forestry,Law,Computer Science,Chemistry,Economics & Econometrics,Civil Engineering,Sociology,Geography",FALSE,FALSE,FALSE,"belgium"
440,44,"The Chinese University of Hong Kong",76.8,440,60.8,67,64.3,69,97.8,15,94.2,141,94.6,56,"master_account",11,"/world-university-rankings/chinese-university-hong-kong",662356,"Hong Kong",18210,18.6,"27%",NA,"The Chinese University of Hong Kong CUHK","Computer Science,Law,Geography,Education,Architecture,Sport Science,History, Philosophy & Theology,General Engineering,Art, Performing Arts & Design,Chemistry,Economics & Econometrics,Physics & Astronomy,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Sociology,Other Health,Psychology,Mathematics & Statistics,Languages, Literature & Linguistics,Business & Management,Politics & International Studies (incl Development Studies),Biological Sciences,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",FALSE,FALSE,FALSE,"hong kong"
450,45,"McGill University",76.7,450,66.2,49,70.9,52,88.6,148,78,340,91.6,116,"master_account",11,"/world-university-rankings/mcgill-university",492,"Canada",30051,11.3,"30%","61 : 39","McGill University","Civil Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Architecture,Agriculture & Forestry,Sociology,Computer Science,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Sport Science,Other Health,Psychology,General Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Geography,Biological Sciences,Archaeology,Law,Medicine & Dentistry,Mathematics & Statistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies",FALSE,FALSE,FALSE,"canada"
